station,week_r,year_r,monitor_read
IGI Airport,32,2015,0.0
IGI Airport,33,2015,0.0
IGI Airport,34,2015,0.0
IGI Airport,35,2015,0.0
IGI Airport,36,2015,0.0
IGI Airport,37,2015,0.0
IGI Airport,38,2015,0.0
IGI Airport,39,2015,0.0
IGI Airport,40,2015,0.0
IGI Airport,41,2015,0.0
IGI Airport,42,2015,0.0
IGI Airport,43,2015,0.0
IGI Airport,44,2015,0.0
IGI Airport,45,2015,0.0
IGI Airport,46,2014,0.7916666666666666
IGI Airport,46,2015,0.0
IGI Airport,47,2014,1.0
IGI Airport,47,2015,0.0
IGI Airport,48,2014,0.9970238095238095
IGI Airport,48,2015,0.0
IGI Airport,49,2014,0.9985119047619048
IGI Airport,50,2014,1.0
IGI Airport,51,2014,0.9136904761904762
IGI Airport,52,2014,1.0
ITO,1,2014,0.0
ITO,1,2015,0.0
ITO,2,2014,0.0
ITO,2,2015,0.0
ITO,3,2014,0.0
ITO,3,2015,0.0
ITO,4,2014,0.0
ITO,4,2015,0.0
ITO,5,2014,0.0
ITO,5,2015,0.0
ITO,6,2014,0.0
ITO,6,2015,0.001488095238095238
ITO,7,2014,0.0
ITO,7,2015,0.0
ITO,8,2014,0.0
ITO,8,2015,0.0
ITO,9,2014,0.0
ITO,9,2015,0.0
ITO,10,2014,0.0
ITO,10,2015,0.0
ITO,11,2014,0.0
ITO,11,2015,0.0
ITO,12,2014,0.0
ITO,12,2015,0.0
ITO,13,2014,0.0
ITO,13,2015,0.0
ITO,14,2014,0.6130952380952381
ITO,14,2015,0.0
ITO,15,2014,1.0
ITO,15,2015,0.0
ITO,16,2014,1.0
ITO,16,2015,0.0
ITO,17,2014,1.0
ITO,17,2015,0.0
ITO,18,2014,0.49255952380952384
ITO,18,2015,0.0
ITO,19,2014,0.6473214285714286
ITO,19,2015,0.0
ITO,20,2014,0.8184523809523809
ITO,20,2015,0.0
ITO,21,2014,0.6919642857142857
ITO,21,2015,0.0
ITO,22,2014,0.9940476190476191
ITO,22,2015,0.0
ITO,23,2014,1.0
ITO,23,2015,0.0
ITO,24,2014,1.0
ITO,24,2015,0.0
ITO,25,2014,1.0
ITO,25,2015,0.0
ITO,26,2014,1.0
ITO,26,2015,0.0
ITO,27,2014,0.9970238095238095
ITO,27,2015,0.0
ITO,28,2014,0.35267857142857145
ITO,28,2015,0.0
ITO,29,2014,0.44494047619047616
ITO,29,2015,0.0
ITO,30,2014,0.7038690476190477
ITO,30,2015,0.0
ITO,31,2014,1.0
ITO,31,2015,0.0
ITO,32,2014,0.8869047619047619
ITO,32,2015,0.0
ITO,33,2014,0.7172619047619048
ITO,33,2015,0.0
ITO,34,2014,0.9866071428571429
ITO,34,2015,0.0
ITO,35,2014,0.15029761904761904
ITO,35,2015,0.0
ITO,36,2014,0.0
ITO,36,2015,0.0
ITO,37,2014,0.32142857142857145
ITO,37,2015,0.0
ITO,38,2014,0.38392857142857145
ITO,38,2015,0.0
ITO,39,2014,0.5074404761904762
ITO,39,2015,0.0
ITO,40,2014,0.3392857142857143
ITO,40,2015,0.0
ITO,41,2014,0.18601190476190477
ITO,41,2015,0.0
ITO,42,2013,0.84375
ITO,42,2014,0.0
ITO,42,2015,0.0
ITO,43,2013,0.7961309523809523
ITO,43,2014,0.0
ITO,43,2015,0.0
ITO,44,2013,0.9047619047619048
ITO,44,2014,0.0
ITO,44,2015,0.0
ITO,45,2013,0.6413690476190477
ITO,45,2014,0.0
ITO,45,2015,0.0
ITO,46,2013,0.3333333333333333
ITO,46,2014,0.0
ITO,46,2015,0.0
ITO,47,2013,0.9166666666666666
ITO,47,2014,0.0
ITO,47,2015,0.0
ITO,48,2013,0.9895833333333334
ITO,48,2014,0.0
ITO,48,2015,0.0
ITO,49,2013,0.0
ITO,49,2014,0.0
ITO,50,2013,0.0
ITO,50,2014,0.0
ITO,51,2013,0.0
ITO,51,2014,0.0
ITO,52,2013,0.0
ITO,52,2014,0.0
Ihbas,1,2015,0.8244047619047619
Ihbas,2,2015,0.8764880952380952
Ihbas,3,2015,0.8482142857142857
Ihbas,4,2015,0.9538690476190477
Ihbas,5,2015,0.9880952380952381
Ihbas,6,2015,0.9553571428571429
Ihbas,7,2015,0.9166666666666666
Ihbas,8,2015,1.0
Ihbas,9,2015,0.9092261904761905
Ihbas,10,2015,0.7589285714285714
Ihbas,11,2015,0.8556547619047619
Ihbas,12,2015,0.9880952380952381
Ihbas,13,2015,0.9970238095238095
Ihbas,14,2015,1.0
Ihbas,15,2015,0.6592261904761905
Ihbas,16,2015,0.6696428571428571
Ihbas,17,2015,0.8422619047619048
Ihbas,18,2015,0.9002976190476191
Ihbas,19,2015,0.6383928571428571
Ihbas,20,2015,0.6086309523809523
Ihbas,21,2015,0.5699404761904762
Ihbas,22,2015,0.20833333333333334
Ihbas,23,2015,0.0
Ihbas,24,2015,0.0
Ihbas,25,2015,0.0
Ihbas,26,2015,0.0
Ihbas,27,2015,0.0
Ihbas,28,2015,0.0
Ihbas,29,2015,0.0
Ihbas,30,2015,0.0
Ihbas,31,2015,0.0
Ihbas,32,2015,0.0
Ihbas,33,2015,0.0
Ihbas,34,2015,0.0
Ihbas,35,2015,0.0
Ihbas,36,2015,0.0
Ihbas,37,2015,0.0
Ihbas,38,2015,0.0
Ihbas,39,2015,0.0
Ihbas,40,2015,0.0
Ihbas,41,2015,0.0
Ihbas,42,2015,0.0
Ihbas,43,2015,0.0
Ihbas,44,2015,0.0
Ihbas,45,2015,0.0
Ihbas,46,2014,0.768
Ihbas,46,2015,0.7976190476190477
Ihbas,47,2014,0.9598214285714286
Ihbas,47,2015,0.8125
Ihbas,48,2014,0.8735119047619048
Ihbas,48,2015,0.9847328244274809
Ihbas,49,2014,0.8273809523809523
Ihbas,50,2014,0.6755952380952381
Ihbas,51,2014,0.8616071428571429
Ihbas,52,2014,0.9702380952380952
Mandir Marg,15,2015,0.453125
Mandir Marg,16,2015,0.5877976190476191
Mandir Marg,17,2015,0.8407738095238095
Mandir Marg,18,2015,0.8184523809523809
Mandir Marg,19,2015,0.8050595238095238
Mandir Marg,20,2015,0.6547619047619048
Mandir Marg,21,2015,0.8526785714285714
Mandir Marg,22,2015,0.84375
Mandir Marg,23,2015,0.7351190476190477
Mandir Marg,24,2015,0.7455357142857143
Mandir Marg,25,2015,0.8229166666666666
Mandir Marg,26,2015,0.8735119047619048
Mandir Marg,27,2015,0.7172619047619048
Mandir Marg,28,2015,0.8630952380952381
Mandir Marg,29,2015,0.8244047619047619
Mandir Marg,30,2015,0.8497023809523809
Mandir Marg,31,2015,0.8318452380952381
Mandir Marg,32,2015,0.9017857142857143
Mandir Marg,33,2015,0.9151785714285714
Mandir Marg,34,2015,0.90625
Mandir Marg,35,2015,0.6086309523809523
Mandir Marg,36,2015,0.6101190476190477
Mandir Marg,37,2015,0.9196428571428571
Mandir Marg,38,2015,0.9002976190476191
Mandir Marg,39,2015,0.9017857142857143
Mandir Marg,40,2015,0.8883928571428571
Mandir Marg,41,2015,0.9136904761904762
Mandir Marg,42,2015,0.7276785714285714
Mandir Marg,43,2015,0.8169642857142857
Mandir Marg,44,2015,0.4107142857142857
Mandir Marg,45,2015,0.8898809523809523
Mandir Marg,46,2015,0.9211309523809523
Mandir Marg,47,2015,0.9642857142857143
Mandir Marg,48,2015,0.8718929254302104
Punjabi Bagh,15,2015,0.6961805555555556
Punjabi Bagh,16,2015,0.8869047619047619
Punjabi Bagh,17,2015,0.9360119047619048
Punjabi Bagh,18,2015,0.46130952380952384
Punjabi Bagh,19,2015,0.6741071428571429
Punjabi Bagh,20,2015,0.9479166666666666
Punjabi Bagh,21,2015,0.6800595238095238
Punjabi Bagh,22,2015,0.2425595238095238
Punjabi Bagh,23,2015,0.0
Punjabi Bagh,24,2015,0.0
Punjabi Bagh,25,2015,0.0
Punjabi Bagh,26,2015,0.0
Punjabi Bagh,27,2015,0.0
Punjabi Bagh,28,2015,0.0
Punjabi Bagh,29,2015,0.0
Punjabi Bagh,30,2015,0.0
Punjabi Bagh,31,2015,0.0
Punjabi Bagh,32,2015,0.0
Punjabi Bagh,33,2015,0.0
Punjabi Bagh,34,2015,0.0
Punjabi Bagh,35,2015,0.0
Punjabi Bagh,36,2015,0.0
Punjabi Bagh,37,2015,0.0
Punjabi Bagh,38,2015,0.0
Punjabi Bagh,39,2015,0.0
Punjabi Bagh,40,2015,0.0
Punjabi Bagh,41,2015,0.0
Punjabi Bagh,42,2015,0.0
Punjabi Bagh,43,2015,0.0
Punjabi Bagh,44,2015,0.0
Punjabi Bagh,45,2015,0.0
Punjabi Bagh,46,2015,0.0
Punjabi Bagh,47,2015,0.0
Punjabi Bagh,48,2015,0.0
R K Puram,14,2015,0.4583333333333333
R K Puram,15,2015,0.44642857142857145
R K Puram,16,2015,0.8630952380952381
R K Puram,17,2015,0.9270833333333334
R K Puram,18,2015,0.9880952380952381
R K Puram,19,2015,0.9880952380952381
R K Puram,20,2015,0.8928571428571429
R K Puram,21,2015,0.9583333333333334
R K Puram,22,2015,0.9880952380952381
R K Puram,23,2015,0.6101190476190477
R K Puram,24,2015,0.8125
R K Puram,25,2015,0.9092261904761905
R K Puram,26,2015,0.9776785714285714
R K Puram,27,2015,0.7946428571428571
R K Puram,28,2015,0.8824404761904762
R K Puram,29,2015,0.8541666666666666
R K Puram,30,2015,0.9464285714285714
R K Puram,31,2015,0.8764880952380952
R K Puram,32,2015,0.8824404761904762
R K Puram,33,2015,0.9092261904761905
R K Puram,34,2015,0.9613095238095238
R K Puram,35,2015,0.9732142857142857
R K Puram,36,2015,0.6860119047619048
R K Puram,37,2015,0.8511904761904762
R K Puram,38,2015,0.6875
R K Puram,39,2015,0.9747023809523809
R K Puram,40,2015,0.9166666666666666
R K Puram,41,2015,0.8318452380952381
R K Puram,42,2015,0.7648809523809523
R K Puram,43,2015,0.8660714285714286
R K Puram,44,2015,0.7202380952380952
R K Puram,45,2015,0.8720238095238095
R K Puram,46,2015,0.9747023809523809
R K Puram,47,2015,0.8214285714285714
R K Puram,48,2015,0.97131931166348
Shadipur,1,2015,0.0
Shadipur,2,2015,0.0
